Road_Name,Road_Type,County_Name
Koinage Street,tertiary,Nairobi
Loita Street,living_street,Nairobi
Waiyaki Red Hill Link Road,secondary,Nairobi
Waiyaki Red Hill Link Road,secondary,Nairobi
Kihara Road,residential,Nairobi
Kenyatta Highway,trunk_link,Kiambu
Garissa Road,trunk,Kiambu
Garissa Road,trunk_link,Kiambu
Kangundo Road,trunk,Nairobi
Kangundo Road,trunk,Nairobi
Kangundo Road,trunk,Nairobi
Chiromo Road,trunk,Nairobi
Chiromo Road,trunk,Nairobi
Nairobi School Road,residential,Nairobi
Peponi to Thigiri Road Path,path,Nairobi
A23 Ziwani - A109 Mtito Andei,unclassified,Taita Taveta
Nhtongoni Kambu Road,unclassified,Taita Taveta
Nairobi School Road,residential,Nairobi
Juba Road,residential,Kiambu
Kirawa Road,primary,Nairobi
Kirawa Road,primary,Kiambu
Coast Road,unclassified,Nairobi
Terrace Close,residential,Nairobi
Woodvale Grove,tertiary,Nairobi
Umoja Road,residential,Kajiado
Manyani Road Close,residential,Nairobi
Manyani West Road,residential,Nairobi
A23 Timbila - Rekeke,unclassified,Taita Taveta
Ridgeway Lane,residential,Nairobi
Meru-Nairobi Highway,trunk,Kiambu
Meru-Nairobi Highway,trunk,Murang'a
Meru-Nairobi Highway,trunk,Kiambu
Meru-Nairobi Highway,trunk,Murang'a
Isinya-Kiserian Road,track,Kajiado
Isinya-Kiserian Road,track,Machakos
Kivaa - Gitaru Road,secondary,Machakos
Olenguruone Avenue,residential,Nairobi
James Gichuru Road,secondary,Nairobi
Muthaiga North Pipeline Estate,residential,Nairobi
Muthaiga North Drive,unclassified,Nairobi
Kimathi Road,tertiary,Nyeri
Kimathi Road,tertiary,Laikipia
Old Mombasa Road,primary,Nairobi
Kongoni Lane,residential,Nairobi
Thigiri Trail,path,Nairobi
Goose Berry Drive,residential,Nairobi
Shalom Road,residential,Kiambu
Kagongo-Karura Road,unclassified,Kiambu
Jodongo Lane,residential,Nairobi
Mutito-Kaliku Road,unclassified,Kitui
Mutito-Kaliku Road,unclassified,Kitui
Loresho Springs Apartments,residential,Nairobi
Aoko Road,service,Nairobi
Kagundo Road,residential,Nairobi
Ole Kejuado Road,residential,Nairobi
Githunguri Road,residential,Nairobi
Tabere Crescent,residential,Nairobi
Balozi Drive,unclassified,Nairobi
Mugomo-ini Close,unclassified,Nairobi
Marigat-Loboi Road,tertiary,Baringo
Ramogi-Nyamonye,unclassified,Siaya
Kolowa Road,secondary,West Pokot
Kolowa Road,secondary,Baringo
E216,tertiary,Nakuru
E216,tertiary,Nakuru
Kikuyu Ondiri Road,residential,Kiambu
Njuguine Road,residential,Machakos
Garden Estate Road,tertiary,Nairobi
Mausamit Road,unclassified,Nakuru
Kipyemit - Mugut road,tertiary,Nakuru
Kipyemit - Mugut road,tertiary,Kericho
kipyemit - mugut road,tertiary,Nakuru
kipyemit - mugut road,tertiary,Kericho
Michezo Road,residential,Nyeri
Nyeri-Nanyuki Road,trunk,Nyeri
Muranga,residential,Murang'a
Makina Crescent,residential,Nairobi
Siloam Road,residential,Mombasa
Churo Close,residential,Nairobi
Waridi Lane,residential,Machakos
Dhahabu Avenue,residential,Nairobi
Convent Road,residential,Nairobi
Convent Road,residential,Nairobi
Donholm Road,residential,Nairobi
Posta Road,residential,Garissa
St Mary's School Private Road,residential,Nairobi
Muhoya Close,residential,Nairobi
Manyani Road Close,residential,Nairobi
Mlolongo Road,unclassified,Makueni
Pathway Lane,residential,Nairobi
Bombeya Court,residential,Nairobi
Bumbani Road,residential,Nairobi
Lenana Road,residential,Nairobi
Chalbi Drive,residential,Nairobi
Wote-Makindu Road,unclassified,Makueni
Biashara Street,residential,Kiambu
Kambaa Hilton Kimende,unclassified,Kiambu
Penta Flowers Thika Northern Boundary Road,track,Murang'a
Tiwi Beach Road,service,Kwale
