Road_Name,Road_Type,County_Name
Ahero-Miwani Rd.,primary,Kisumu
Otieno Oyoo Street,trunk,Kisumu
Otieno Oyoo Street,trunk_link,Kisumu
Oginga Odinga Street,secondary,Kisumu
Oginga Odinga Street,secondary,Kisumu
Oginga Odinga Road,secondary,Kisumu
Otieno Oyoo Street,trunk_link,Kisumu
New Station Road,pedestrian,Kisumu
Omino Cres Road,tertiary,Kisumu
Achieng' Oneko Road,secondary,Kisumu
Achieng' Oneko Road,secondary,Kisumu
Achieng Oneko Road,secondary,Kisumu
Cairo Road,residential,Kisumu
Obote Road,secondary_link,Kisumu
Butere Road,residential,Kisumu
Got Huma Road,tertiary,Kisumu
Jobita Onditi Road,tertiary,Kisumu
Marine Drive,service,Kisumu
Kendu Lane,residential,Kisumu
Odiaga Road,secondary,Kisumu
Riddoch Road,tertiary,Kisumu
Jobita Onditi Road,tertiary,Kisumu
Okore Road,tertiary,Kisumu
Okore Road,tertiary,Kisumu
Got Huma Road,tertiary,Kisumu
Cairo Road,tertiary,Kisumu
Bypass Highway,primary,Kisumu
Bypass Highway,residential,Kisumu
Bypass Highway,residential,Kisumu
Bypass Highway,residential,Kisumu
Kilifi Road,secondary,Kisumu
Awuor-Otieno Road,secondary,Kisumu
Bypass Highway,primary,Kisumu
Bypass Highway,primary,Kisumu
Chemase-Kopere-Muhoroni,primary,Kisumu
Kericho-Kisumu Highway,trunk,Kericho
Hospital Close,tertiary,Nairobi
Mara Road,service,Nairobi
Uhuru Highway,trunk,Nairobi
Uhuru Highway,trunk,Nairobi
Workshops Road,service,Nairobi
Commercial Street,secondary,Nairobi
Lanet Road,residential,Nairobi
Ngong Road,secondary,Nairobi
Maasai Court,residential,Nairobi
Hilltop close,residential,Kajiado
Nyayo Stadium Roundabout,trunk,Nairobi
Muhoho Avenue,residential,Nairobi
Gandhi Avenue,residential,Nairobi
Witu Road,service,Nairobi
Muthaiti Road,residential,Nairobi
Matumbato Road,tertiary,Nairobi
Bunyala Road,tertiary,Nairobi
Bunyala Roundabout,trunk,Nairobi
Hill Lane,residential,Nairobi
Mt. Elgon Drive,residential,Nairobi
Slade Road,residential,Nairobi
Dagoretti Corner,secondary,Nairobi
Ngong Road,secondary,Nairobi
Riara Peak,service,Nairobi
Jamhuri Park Road,unclassified,Nairobi
Kaunda Road,residential,Nairobi
Kingara Road,secondary,Nairobi
Amoth Owira,living_street,Kisumu
Omolo Agar Road,secondary,Kisumu
Old railway trail,path,Kisumu
Kibera Station Road,unclassified,Nairobi
Kilimani Road,residential,Nairobi
Ngong Road,secondary,Nairobi
Orchard Court,service,Nairobi
Tree Shade Heights,residential,Nairobi
Montfort,residential,Nairobi
Riara Gardens,service,Nairobi
Cape Gardens,residential,Nairobi
Sotmar Heights,service,Nairobi
Crystal Glow,service,Nairobi
La Casa Gardens,service,Nairobi
Mararo Lane,residential,Nairobi
Ngong Road,secondary,Nairobi
Kericho-Kisumu Highway,trunk,Kericho
Kericho-Kisumu Highway,trunk,Kericho
Bamburi Road,service,Nairobi
Changamwe Road,service,Nairobi
Mariakani Gardens,residential,Nairobi
Enterprise Road,service,Nairobi
Shao-lin Junction,path,Nairobi
Mjomba Road,path,Nairobi
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kericho
Muhoroni-Fort Ternan-Londiani Rd.,primary,Kericho
Kisii-Kisumu Road,trunk,Kisumu
1st South Avenue,residential,Kiambu
7th South Avenue,residential,Kiambu
Thika Road,trunk,Kiambu
Ruiru Kamiti Road,primary,Kiambu
Thika Road,primary,Kiambu
Ruiru Flyover,footway,Kiambu
Thika Road,trunk_link,Kiambu
Thika Road,trunk,Kiambu
Biashara street,residential,Kiambu
P.G. Dodhia Road,service,Kiambu
P.G. Dodhia Road,residential,Kiambu
Raila Odinga Way,secondary,Nairobi
Ngong Road,secondary,Nairobi
Ngong Road,secondary,Nairobi
Ngong Road,secondary,Nairobi
Mutomo Road,residential,Nairobi
Raila Odinga Way,secondary,Nairobi
Raila Odinga Way,secondary,Nairobi
Mbagathi Way,secondary,Nairobi
Jirore Road,service,Nairobi
Kipyemit - Mugut Road,tertiary,Nakuru
Kipyemit - Mugut Road,tertiary,Kericho
Kenyatta Road,residential,Kericho
Ongala Court,residential,Nairobi
Bonyunyu Mokomoni Ikonge Road,tertiary,Nyamira
Ruby Court,residential,Nairobi
Kisii-Kisumu Road,trunk,Homa Bay
Olulunga Road,unclassified,Narok
Bagaria-Pwani Rural Road,unclassified,Nakuru
Njoro Road,service,Nakuru
Omamo Road,service,Nakuru
Olulunga Road,tertiary,Narok
Non,track,Narok
R54,unclassified,Nakuru
Nyeri-Nyahururu Road,trunk,Nyandarua
Sokoro Road,track,Nakuru
Sheikh Abdullas F.Road,secondary,Mombasa
The Safari Park Gardens,residential,Nairobi
Village Inn Road,tertiary,Nairobi
Mirema Drive,tertiary,Nairobi
Kamiti Road,residential,Kiambu
Koma Rock Road,secondary,Nairobi
John Osogo road,residential,Nairobi
Mosque Lane,residential,Nairobi
Baridi Lane,residential,Nairobi
legio maria lane,residential,Nairobi
Forodha Close,service,Nairobi
Tower Road,service,Nairobi
West Circle Road,service,Nakuru
Airport North Road,primary,Nairobi
Jabavu Court,residential,Nairobi
Madiba Court,residential,Nairobi
Dolphin Court,residential,Nairobi
Rd to Utawala Academy,unclassified,Nairobi
Airport North Road,service,Nairobi
Rd to Utawala Academy,residential,Nairobi
Kisii-Kilgoris Road,secondary,Kisii
Rurii Street,residential,Kiambu
Riara Road,residential,Nairobi
Mshamba Road,residential,Kiambu
Kiamumbi Road,unclassified,Kiambu
New York Road,residential,Kiambu
Riara Lane,residential,Nairobi
Nyali Road,trunk,Mombasa
Nyali Road,trunk,Mombasa
JK International Airport Cargo Parking,service,Nairobi
Jabavu Court,residential,Nairobi
Haile Selassie Avenue,service,Nairobi
Kayole Spine Road,secondary,Nairobi
Kayole Spine Road,secondary,Nairobi
Kayole Spine Road,secondary,Nairobi
Mulawa close,residential,Nairobi
Colimor Lane,residential,Nairobi
Bima Road,residential,Nairobi
Isiolo Road,residential,Kiambu
Kahawa W Station ROAD,residential,Nairobi
Kahawa W Station Road,residential,Nairobi
Es Salaam Street,residential,Kiambu
D248,tertiary,Siaya
Bura Mission - Murughua Mgange Dawida,unclassified,Taita Taveta
D535 Mkwachunyi - E1902J1 Irima,unclassified,Taita Taveta
Mrangi,path,Taita Taveta
Irindinyi,path,Taita Taveta
Second Freight Lane,service,Nairobi
Old Malindi-Mombasa Road,unclassified,Kilifi
Mombasa Road,trunk,Taita Taveta
Malindi Road,trunk,Kilifi
Casino Road,residential,Kilifi
Cycad Road,residential,Kilifi
Bamboo Lane,residential,Kilifi
Silversand Road,unclassified,Kilifi
Arusha Road,unclassified,Taita Taveta
pth,path,Kilifi
Kaya Mosque Way,residential,Kilifi
Kilifi Road,tertiary,Kilifi
Kibaoni Primary School Road,residential,Kilifi
ppath,path,Kilifi
patth,residential,Kilifi
12 km run,unclassified,Kilifi
Airport Road,residential,Kilifi
Kiboko Road,residential,Kilifi
Abdul Garage road,unclassified,Kilifi
Simba Road,residential,Kilifi
Rekeke - Lake Jipe,unclassified,Taita Taveta
Bachuma - Sobo,unclassified,Taita Taveta
Bachuma - Sobo,unclassified,Taita Taveta
Bura Mission - Murughua Mgange Dawida,unclassified,Taita Taveta
Kajire - Gimba,unclassified,Taita Taveta
Inungo 9,unclassified,Siaya
Inungo Main 2,unclassified,Siaya
Inungo Main 2,unclassified,Busia
Inungo Main,unclassified,Siaya
Inungo Main,unclassified,Siaya
R38,unclassified,Siaya
Sirisia 3,residential,Siaya
Uriri 3,residential,Siaya
service road,unclassified,Siaya
Aboli Main Road,unclassified,Busia
Clanson Ct Road,residential,Nairobi
footpath,path,Migori
Turkwel Lorugum Road,secondary,Turkana
Twiga Tullow Road,tertiary,Turkana
Msisi Court,residential,Nairobi
Marigat-Loboi Road,tertiary,Baringo
Road to Lela,tertiary,Migori
Apokor Path 1,path,Busia
Lwanyange Parthway,path,Busia
Ugunja Road,residential,Siaya
Gabriel Mukele Road,unclassified,Busia
Ronald Ngala Street,residential,Uasin Gishu
Buyangu - Ekero Road,primary,Kakamega
Kakamega-Mumias Road,trunk,Kakamega
Kahunguro Road,unclassified,Kakamega
Eldoret-Malaba Road,trunk,Kakamega
Road Leading to House,path,Tharaka-Nithi
Olkuleu Village Path C,path,Busia
Old Highway,unclassified,Kiambu
Cheptiret-Main Campus Way,tertiary,Uasin Gishu
Kamila - Katuda Road,tertiary,West Pokot
Kalemunyang-Naipa Road,tertiary,Turkana
Ndiru Road 2,residential,Siaya
Manyala A,residential,Siaya
Lopalal road,unclassified,West Pokot
Kampala Street,residential,Kisumu
Makasembo Road,residential,Kisumu
Kima-Emusutswi Road,tertiary,Vihiga
Mwikusi Trail,unclassified,Vihiga
Manyala Road,residential,Siaya
Akala Road,unclassified,Siaya
Kabiyet-Tabare-Mochongo Road,unclassified,Baringo
Kibunja Road,secondary,Nakuru
1st Avenue,residential,Nakuru
Turbo-Endebess Road,secondary,Trans Nzoia
Kaplamai Road,tertiary,Trans Nzoia
Sega - Siranga Road.,tertiary,Siaya
Odiado E,unclassified,Busia
Convent Road,residential,Busia
Mwalimu Road,residential,Busia
Nasewa Sub Road,path,Busia
Murumba- Bukhalalire Road,unclassified,Busia
T2609,unclassified,Nandi
Siaya,track,Siaya
To Mbalawandu ACK,unclassified,Kisumu
D281,tertiary,Bungoma
Yala foot Bridge,unclassified,Siaya
Ndhiwa-Uriri Rd.,primary,Migori
Rabwao Road,unclassified,Migori
Semiconductor Road,service,Nyeri
Hospital Road,residential,Kiambu
Gatundu-Kinare Road,tertiary,Kiambu
Chania Bridge,unclassified,Nyeri
Chania Bridge,unclassified,Nyeri
Gatundu-Kinare Road,tertiary,Kiambu
Camp Road,unclassified,Kiambu
EPZ Road,unclassified,Kajiado
M.G. Cres,residential,Nairobi
Old Highway,unclassified,Kiambu
Kimende Hilton Gwa Kabatha,residential,Kiambu
Bamburi Road,residential,Kajiado
Kirimir-Ndula,unclassified,Murang'a
Kungu Karumba Road,tertiary,Nairobi
Kalasa Road,residential,Nairobi
Westside,service,Nairobi
Kiuru Crescent Close,residential,Nairobi
Oloika Road,residential,Kajiado
Nyeri-Nanyuki Road,trunk,Nyeri
Factory Road,service,Kiambu
Oloitiptip Road,unclassified,Kiambu
Kangethe Road,unclassified,Murang'a
Upper Road,unclassified,Kiambu
Kenyatta Highway,unclassified,Kiambu
Kisii Road,residential,Kiambu
Ethiopia Road,residential,Kiambu
Berlin Road,residential,Kiambu
Asha Road,residential,Kiambu
Mombasa Road,residential,Kiambu
Mulandi Road,residential,Kiambu
Factory Road,unclassified,Kiambu
Penta Flowers Thika Gh 32 Road,track,Murang'a
Meru-Nairobi Highway,trunk,Kiambu
Upper Road,unclassified,Kiambu
Kilifi Road,residential,Kiambu
Kilimambogo Road,residential,Kiambu
Lagos Road,residential,Kiambu
Kenyatta Highway,unclassified,Kiambu
Thika Road,trunk,Kiambu
Thika Road,trunk,Kiambu
Kenya Road,residential,Kiambu
Shompole Road,residential,Kajiado
Kisii-Kisumu Road,trunk,Homa Bay
Inungo 5,residential,Siaya
Inungo 5,residential,Busia
Inungo 1,residential,Busia
Btula -Kanjala Road,unclassified,Busia
Uriri 1,residential,Siaya
Muruka-Elukharu Road,unclassified,Busia
Solai Road,trunk,Nakuru
Revsymekha Road,residential,Nairobi
Loneview Access Road,residential,Machakos
Kapsimotwa -Leldaet - Kipleljin Road,tertiary,Bomet
Machakos-Wote Road,secondary,Makueni
Butula Market-Bukati,unclassified,Busia
Uriri 2,unclassified,Siaya
Garissa-Daadab Road,trunk,Kitui
Kibugat Road,tertiary,Kericho
Longisa -Kembu Road,tertiary,Bomet
Kwanza-Kapenguria Road,tertiary,Trans Nzoia
Kitale - Kolongolo Road,tertiary,Trans Nzoia
Kwanza-Kapenguria Road,tertiary,Trans Nzoia
Ojijo Oteko Road,residential,Kisumu
Ojijo Oteko Road,residential,Kisumu
Koinange Road,residential,Trans Nzoia
Koinange Road,residential,Trans Nzoia
Ravine Road,tertiary,Trans Nzoia
Ravine Road,tertiary,Trans Nzoia
Koinange Road,residential,Trans Nzoia
Muruka - Kandara Road,tertiary,Murang'a
Kitale Kisawai Road,tertiary,Trans Nzoia
Kitale Kisawai Road,tertiary,Trans Nzoia
Kitale Kisawai Road,tertiary,Trans Nzoia
Mt. Elgon Road,tertiary,Trans Nzoia
Canary Road,tertiary,Murang'a
Enterprise Road,secondary,Nairobi
Malaba Road,trunk,Uasin Gishu
Malaba Road,trunk,Uasin Gishu
Edenville Kiambu Court PO,residential,Kiambu
Edenville Kiambu Court K(a),residential,Kiambu
Edenville Kiambu Court JA,residential,Kiambu
Edenville Court H B,residential,Kiambu
Edenville Kiambu Court N B,residential,Kiambu
Outer Ring Road,primary,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,primary,Nairobi
Outer Ring Road,primary,Nairobi
Mombasa Road,trunk,Mombasa
Outer Ring Road,primary,Nairobi
Thika Road,secondary,Nairobi
Viyalo-Mbale Road,unclassified,Vihiga
Tingolo- Masendebale,tertiary,Busia
malele 3,unclassified,Siaya
E240,unclassified,Vihiga
Dirt Road,residential,Siaya
Collage Road,residential,Nyandarua
Njabini Village Road,residential,Nyandarua
Track to Mt Kinangop,path,Nyandarua
baghdad 2,unclassified,Siaya
Tenges-Kapkayo Road,secondary,Baringo
Kenyatta Road,residential,Nyeri
Tenges-Kapkayo Road,tertiary,Baringo
Tenges-Kapkayo Road,tertiary,Elgeyo-Marakwet
A. C. K. Road,residential,Nairobi
Mbaruk Road,residential,Nakuru
Kamukumji Path,path,Siaya
Saboti-Endebess Road,secondary,Trans Nzoia
Turbo-Endebess Road,secondary,Trans Nzoia
Turbo-Endebess Road,secondary,Trans Nzoia
Turbo-Endebess Road,secondary,Trans Nzoia
Turbo-Endebess Road,secondary,Trans Nzoia
Jika Road,unclassified,Kitui
Kilingili-Ebunangwe Road,unclassified,Vihiga
Njuri Ncheke Street,secondary,Meru
E240C,unclassified,Vihiga
E240C,unclassified,Kakamega
To Kimase,unclassified,Bomet
Home,path,Migori
Home,residential,Migori
Kima-Emusutswi Road,tertiary,Vihiga
Ebukwelo Trail,residential,Vihiga
David Mutai Avenue,residential,Bomet
ndiru road 4,residential,Siaya
Khumbaka Trail,path,Vihiga
Ukia-Emali Road,secondary,Makueni
Ukia-Emali Road,secondary,Makueni
Kima-Emusutswi Road,tertiary,Vihiga
Mwitunguta Road,unclassified,Vihiga
Mwitunguta Road,unclassified,Vihiga
Kapkures Road,residential,Bomet
Mabs - Chouses,unclassified,Uasin Gishu
Ebutongoi Road,unclassified,Vihiga
Salama Nunguni Road,secondary,Makueni
Ematsuli-Esibuye Road,unclassified,Vihiga
A23-Gimba,tertiary,Taita Taveta
Btula -Kanjala Road,unclassified,Busia
Khumubeli-Bumala''B'' Road,tertiary,Busia
Kakamega-Kitale Road,trunk,Trans Nzoia
E261,tertiary,Nakuru
Kakamega-Kitale Road,trunk,Trans Nzoia
Bamba - Kilifi Road,tertiary,Kilifi
Osodo,unclassified,Siaya
Kilingili Shortcut,residential,Vihiga
Mbitondo Trail,path,Vihiga
Ebukwelo Trail,residential,Vihiga
Mbitondo Trail,residential,Vihiga
Mbihilo Road,path,Kakamega
Malkagala - Adhe Warabesa Road,unclassified,Isiolo
Ebutongoi Road,path,Vihiga
Munungo Trail,path,Vihiga
Lukindo Road,residential,Machakos
Mwituha-Ebusiloli Road,unclassified,Vihiga
Muyekhe-Emuhondo Road,unclassified,Vihiga
Muyekhe-Emuhondo Road,unclassified,Vihiga
Mwituha-Ebusiloli Road,unclassified,Vihiga
Kilingili-Ebunangwe Road,unclassified,Vihiga
Mwilungu Road,residential,Vihiga
Muyekhe-Emuhondo Road,unclassified,Vihiga
Khumbaka Trail,path,Vihiga
Mbihilo Road,residential,Vihiga
Isiolo-Marsabit Road,trunk,Meru
R9,unclassified,Nakuru
Mwongori Nyaronge Road,unclassified,Nyamira
Kamukunji Path,path,Siaya
Mwongori Maziwa-Nyaronge Road,unclassified,Bomet
Mwongori Maziwa-Nyaronge Road,unclassified,Nyamira
Esirulo-Emanyinya Road,unclassified,Vihiga
Esirulo-Khwisero Road,unclassified,Vihiga
Esirulo-Khwisero Road,unclassified,Kakamega
Buruburu Road,unclassified,Nairobi
2 Kwa Ngendu,unclassified,Kitui
Kia Wanugu Ndongoro Road,residential,Kiambu
Kalawa Road,unclassified,Kitui
Kapsigiryo Road,path,Baringo
Bandari Road,residential,Mombasa
Voi - Law Courts,residential,Taita Taveta
Makhan Singh Road,residential,Nairobi
Avocado Lane,residential,Nairobi
Kaptimbor Cifika Road,unclassified,Baringo
Voi - Moi Hospital,unclassified,Taita Taveta
Lukindo Road,residential,Machakos
C93,tertiary,Tharaka-Nithi
Nairobi-Namanga Road,trunk,Kajiado
Buhuyi- Lugulu Road,unclassified,Busia
Buhuyi- Lugulu Road,unclassified,Kakamega
Rashid Road,residential,Machakos
General Kago Road,unclassified,Kiambu
Ebutongoi Road,unclassified,Vihiga
Emmukunzi Road,unclassified,Vihiga
Ol Donyo Sabuk Park Road,tertiary,Machakos
Ol Donyo Sabuk Park Road,tertiary,Kiambu
Kiplabotwa - Kiptobit - Koita Road,tertiary,Bomet
sikinga connector,residential,Busia
Longisa-Siwot Murram Road,tertiary,Bomet
Kibugat Road,tertiary,Kericho
Tingare 1,residential,Siaya
C93,tertiary,Tharaka-Nithi
Kabarnet to Kabartonjo Road,secondary,Baringo
Marigat-Loboi Road,secondary,Baringo
Mubea Road,residential,Nairobi
Garissa-Daadab Road,trunk,Tana River
Mubea Road,residential,Nairobi
un,unclassified,Kakamega
Nganoini Rural Foot Path,residential,Nakuru
Ol Donyo Sabuk Park Road,tertiary,Machakos
Campsite Road,track,Machakos
picnic site track,track,Machakos
Kilingili-Eregi Road,unclassified,Kakamega
Harry Thuku Road,residential,Nairobi
Gunana-Burmayo Road,tertiary,Wajir
Gunana-Burmayo Road,tertiary,Mandera
Khumubeli-Bumala''B'' Road,tertiary,Busia
Siribo Access,unclassified,Busia
Thego Lane,residential,Nairobi
Thego Lane,residential,Nairobi
Shinyalu Close,residential,Nairobi
Syengoni Road,unclassified,Makueni
Albiza Drive,residential,Nairobi
Albiza Drive,residential,Kiambu
Glory Road,residential,Nairobi
Glory Road,residential,Kiambu
Thika-Gatura Road,secondary,Nyandarua
"Bumala ""B""-Siribo Road",unclassified,Busia
Muthaiga,residential,Nairobi
Adadijole-Balatul Amin,tertiary,Wajir
Balatul Amin-Gurar Road,unclassified,Wajir
Kaptara-Oinobmoi Road,tertiary,Baringo
E240A,unclassified,Vihiga
E240A,unclassified,Kakamega
E240B,unclassified,Vihiga
Tel-Aviv Street,residential,Kiambu
Maputo Road,residential,Kiambu
Dam Avenue,residential,Kiambu
Kamae Road,residential,Nairobi
Ndovu Lane,residential,Nairobi
Ndovu Lane,residential,Kiambu
Kalwembe Road,tertiary,Kwale
Kima-Emusutswi Road,tertiary,Vihiga
Kima-Emusutswi Road,tertiary,Vihiga
Ngonji - Sisal Estate,unclassified,Taita Taveta
katuyu road,unclassified,Kitui
Kitobo-Mrambani-Eldoro,unclassified,Taita Taveta
Kitobo-Mrambani-Eldoro,unclassified,Taita Taveta
Pheroz Road,residential,Nairobi
Taveta - Ngutini,unclassified,Taita Taveta
Mt. Suswa Road,trunk,Narok
Kaplong-Narok-Maai Road,trunk,Narok
Mombasa Road,trunk,Mombasa
Sokoro Road,unclassified,Nakuru
E237C,unclassified,Kakamega
Kiongwani Road,unclassified,Makueni
Kiongwani Road,unclassified,Makueni
Mwanyani Road,unclassified,Makueni
R56,unclassified,Kakamega
United Nations Avenue,tertiary,Nairobi
Kakutha Access Road,unclassified,Makueni
Kavuko Road,unclassified,Makueni
Wundanyi-E690 Junc.- Ngerenyi -Dembwa,unclassified,Taita Taveta
A23 Ziwani - A109 Mtito Andei,unclassified,Taita Taveta
Bumutiru- Bulwani Road,unclassified,Busia
Murumba- Nambale Road,unclassified,Busia
Murumba- Namabale Road,unclassified,Busia
A23 Ziwani - Njukini,unclassified,Taita Taveta
Muthama Access Road,residential,Machakos
Lower Hill Road,tertiary,Nairobi
Sea-Front,pedestrian,Lamu
Jomvu Road,residential,Mombasa
Mombasa Road,trunk,Mombasa
Corniche Path,pedestrian,Lamu
Uhuru Street,residential,Kiambu
Commercial St,residential,Kiambu
A23 Ziwani - Njukini,unclassified,Taita Taveta
Bumutiru-Matayos Road,unclassified,Busia
Murumba- Matayos Road,unclassified,Busia
Luanda Dudi Road,unclassified,Siaya
Luanda Dudi Road,unclassified,Kakamega
Kingandole- Ikonzo Road,unclassified,Busia
Kingandole-Bumutiru Road,unclassified,Busia
vyongwani,unclassified,Kwale
kagochi road,service,Nyeri
Bym2,unclassified,Busia
E294,unclassified,Vihiga
E294,unclassified,Nandi
Elukhari-Kanjala Road,unclassified,Busia
footpath,path,Migori
Madola- Bulwani Road,unclassified,Busia
Mwachawaza - Msau,unclassified,Taita Taveta
"Bukati-Bumala ""B"" Road",unclassified,Busia
Bukati-Bumala ''B'' Road,unclassified,Busia
Madola- Enakaywa Road,unclassified,Busia
Shaghanda - Fighinyi,unclassified,Taita Taveta
MWANZWANI PRIMARY SCHOOL ROAD,path,Kwale
Murumba- Sikoma Road,unclassified,Busia
Sikoma-Access,unclassified,Busia
Bukhalalire- Busiada Road,unclassified,Busia
Bukhuma-Khunyangu Road,unclassified,Busia
Kalacha - Marsabit Rd.,trunk,Marsabit
Murang'a- Nairobi Road,secondary,Murang'a
Nairobi expressway,trunk,Nairobi
Kinuya Road,unclassified,Machakos
Laban Croft,unclassified,Machakos
Hospital Close,residential,Nairobi
Macharia Road,residential,Nairobi
Nairobi Expressway,trunk,Nairobi
2nd Avenue,residential,Mombasa
Murumba- Matayos Road,unclassified,Busia
Mlangonyi-Kishamba,unclassified,Taita Taveta
Magombe-Khunyangu Road,unclassified,Busia
Murumba-Bukhalalire Road,unclassified,Busia
Oriang'-Kiwiro Road,tertiary,Homa Bay
Munyanja A,unclassified,Busia
To Kapsokwony,tertiary,Bungoma
Old Forest Trail,path,Kakamega
Mwatate - Kasigau,tertiary,Taita Taveta
CDF Road,residential,Nairobi
Bumala Busibula,unclassified,Siaya
Bumala Busibula,unclassified,Busia
Kiraene kia Baimwati-Mutionjuri-Ntirutu-Nchuraine Road,unclassified,Meru
Kathama ka Aindi-Mutionjuri Road,unclassified,Meru
Sikoma Access,unclassified,Busia
Werugha - Mgambonyi - Mwakanju,unclassified,Taita Taveta
Werugha - Mgambonyi - Mwakanju,unclassified,Taita Taveta
Werugha - Mgambonyi - Mwakanju,unclassified,Taita Taveta
Mwachabo - Chungaunga,unclassified,Taita Taveta
Kinuya Road,unclassified,Machakos
Kinuya Road,unclassified,Machakos
Kighombo - Mwambira Mole,tertiary,Taita Taveta
Kinuya Road,unclassified,Machakos
Mgange Nyika-Mwabatu-Mwaroko,unclassified,Taita Taveta
Kiambu Road,trunk,Nairobi
Kiambu Road,trunk,Nairobi
Kiambu Road,trunk,Nairobi
Kiambu Road,trunk,Nairobi
Lunga Lunga Road,secondary_link,Nairobi
Lunga Lunga Road,secondary_link,Nairobi
Red Cross Road,residential,Nairobi
Kiambu Road,trunk,Nairobi
Kiambu Road,trunk,Nairobi
Simba Road,track,Nakuru
Sisera-Musau,unclassified,Taita Taveta
Bura Mission - Lukundukundunyi - Mwandolo,unclassified,Taita Taveta
Mara Serena Road,unclassified,Narok
Paranga-Kedai-Kishushe,unclassified,Taita Taveta
South-West Boundary,unclassified,Taita Taveta
Kiraene Kia Baimwati-Thinyaine Road,unclassified,Meru
Salt Lick Road,unclassified,Narok
Colorado Kaloleni Road,unclassified,Mombasa
Salt Lick Road,unclassified,Narok
Kamtonga - Mkuki - Mwanachi,unclassified,Taita Taveta
Dirth Road,unclassified,Tharaka-Nithi
Marine Park Road,residential,Kilifi
Markhamia,residential,Kilifi
Sand Olive,residential,Kilifi
Buffalo Thorn,residential,Kilifi
Reservoir Track,track,Kilifi
Mwakirunge Road,unclassified,Mombasa
Mwakirunge Road,unclassified,Kilifi
Mwakirunge Road,unclassified,Mombasa
Satinwood Thorn,residential,Kilifi
Hibiscus,residential,Kilifi
Acacia,residential,Kilifi
Kigali Drive,residential,Kilifi
Kigali Drive,residential,Kilifi
Kigali Crescent,residential,Kilifi
Kigali Crescent,residential,Kilifi
Acacia,residential,Kilifi
Mvuli Way,residential,Kilifi
Mahogany Drive,residential,Kilifi
Mvuli,residential,Kilifi
Cycad,residential,Kilifi
Cycad,residential,Kilifi
Kathita Bridge,unclassified,Tharaka-Nithi
Airfield Lane,unclassified,Kilifi
Security Lane,unclassified,Kilifi
Shelemba - Kirutai,unclassified,Taita Taveta
Road,residential,Nyeri
Bauhinia,residential,Kilifi
Mahogany,unclassified,Kilifi
Pigeon Wood,residential,Kilifi
Obet 1,unclassified,Siaya
E243,unclassified,Nandi
Obet 1,unclassified,Siaya
D541 Kulukila - Kitege,unclassified,Taita Taveta
Obet Main,unclassified,Siaya
Obet 3,unclassified,Siaya
Oak Lane,residential,Nairobi
Forest Line Road,secondary,Kajiado
Obet 3,unclassified,Siaya
Obet Main,unclassified,Siaya
E688B Nyache - Maghonyi - D538 Mbale,unclassified,Taita Taveta
Werugha - Mgambonyi - Mwakanju,unclassified,Taita Taveta
Shagha - Mgambonyi,unclassified,Taita Taveta
mukuyu-Gunga rd,unclassified,Migori
mukuyu-Gunga rd,unclassified,Homa Bay
D540 Tausi - Mwakitawa,unclassified,Taita Taveta
D535 Mkwachunyi - E1902J1 Irima,unclassified,Taita Taveta
Konenyi- Wongonyi,unclassified,Taita Taveta
Burinda-Nasewa Road,unclassified,Busia
Mt Kenya Eco Resource Centre - Abbotts Camp,unclassified,Nyeri
D535 Mkwachunyi - URP1-03 Kirutai,unclassified,Taita Taveta
To Bantu Lodge,unclassified,Nyeri
Irima - Tausa,unclassified,Taita Taveta
Kiambu Road,trunk,Kiambu
Kiambu Road,trunk,Nairobi
Kiambu-Limuru Road,trunk,Kiambu
Kiambu-Limuru Road,trunk,Kiambu
Kiambu-Limuru Road,trunk,Kiambu
Kiambu-Limuru Road,trunk,Kiambu
Kiambu-Limuru Road,trunk,Kiambu
Lunga Lunga Road,secondary,Nairobi
Kitui-Mutito Road,secondary,Kitui
Mrb F,unclassified,Busia
Funyula- Sio Port Road,tertiary,Busia
Mutati Road,residential,Nairobi
D540 Tausa - D.O Office,unclassified,Taita Taveta
D540 Ndome - Mwaghogho Sec School,unclassified,Taita Taveta
Kaburini Road,residential,Nyeri
Ruaka Road,tertiary,Nairobi
Subira Close,residential,Machakos
Cemetery Road,tertiary,Kisii
Garissa-Modogashe Road,secondary,Garissa
C70,trunk,Nyeri
Forest Line Road,unclassified,Kajiado
Forest Line Road,residential,Kajiado
Voi Park HQ. - Lugards,unclassified,Taita Taveta
Matibabu 5,path,Siaya
Nyangeni - Birongo Road,unclassified,Kisii
Busende C,unclassified,Busia
Pine Road,residential,Kiambu
Bachuma - Sobo,unclassified,Taita Taveta
Matibabu 2,path,Siaya
N.RC 3,unclassified,Busia
Chirichiro-Birongo Road,tertiary,Kisii
Kapelfu Road,unclassified,Elgeyo-Marakwet
Chirichiro-Birongo Road,tertiary,Kisii
Bachuma - Sobo,unclassified,Taita Taveta
Bachuma - Sobo,unclassified,Taita Taveta
Timboroa Lane,service,Nairobi
Taveta Road,living_street,Nairobi
Tsavo Road,living_street,Nairobi
Taveta Lane,living_street,Nairobi
Duruma Road,living_street,Nairobi
Benin road,residential,Baringo
Dubois Road,living_street,Nairobi
Daisy Road,residential,Nairobi
