country,provpcode,province,ctypcode,county,scpcode,subcounty,dhis2_id
Kenya,KEN_1_5,Rift Valley,KEN_2_28,Elgeyo-Marakwet,KEN_3_149,Keiyo North Sub County,rlWH0Ac9vjc
Kenya,KEN_1_3,Eastern,KEN_2_14,Embu,KEN_3_66,Mbeere North  Sub County,eYBXetGx8xF
Kenya,KEN_1_7,Nyanza,KEN_2_45,Kisii,KEN_3_269,Kitutu Chache South Sub County,gPR82w2xgJZ
Kenya,KEN_1_1,Coast,KEN_2_6,Taita Taveta,KEN_3_25,Mwatate Sub County,IBDoGsLdhvt
Kenya,KEN_1_7,Nyanza,KEN_2_45,Kisii,KEN_3_264,Bobasi Sub County,cooDDG3Lh3A
Kenya,KEN_1_5,Rift Valley,KEN_2_25,Samburu,KEN_3_134,Samburu North Sub County,E2DGjZRlwbY
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_202,Lurambi Sub County,Y3NjAhiBaZT
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_57,Buuri Sub County,xN5aPo4ZOIt
Kenya,KEN_1_7,Nyanza,KEN_2_45,Kisii,KEN_3_266,Nyaribari Masaba Sub County,A6Sj8RumZ0m
Kenya,KEN_1_3,Eastern,KEN_2_15,Kitui,KEN_3_74,Kitui South Sub County,d3hSQ3EtnPk
Kenya,KEN_1_1,Coast,KEN_2_4,Tana River,KEN_3_20,Bura Sub County,yWPcTwGwQ2B
Kenya,KEN_1_7,Nyanza,KEN_2_46,Nyamira,KEN_3_272,Nyamira North Sub County,v5qbFUgfIoF
Kenya,KEN_1_7,Nyanza,KEN_2_43,Homa Bay,KEN_3_246,Kabondo Kasipul Sub County,BzFBYZhF5fx
Kenya,KEN_1_2,North Eastern,KEN_2_7,Garissa,KEN_3_28,Balambala Sub County,FGBNPr91pXH
Kenya,KEN_1_7,Nyanza,KEN_2_42,Kisumu,KEN_3_243,Muhoroni Sub County,NmbwkQ5r5cB
Kenya,KEN_1_7,Nyanza,KEN_2_41,Siaya,KEN_3_232,Ugenya Sub County,InECuIlzJGx
Kenya,KEN_1_5,Rift Valley,KEN_2_27,Uasin Gishu,KEN_3_145,Kapseret Sub County,u9yagZzK49q
Kenya,KEN_1_2,North Eastern,KEN_2_7,Garissa,KEN_3_29,Lagdera Sub County,J69iWev2zwu
Kenya,KEN_1_7,Nyanza,KEN_2_43,Homa Bay,KEN_3_245,Kasipul Sub County,NhsAMiaS0TD
Kenya,KEN_1_4,Central,KEN_2_19,Nyeri,KEN_3_95,Kieni East Sub County,YXt5ETQPRlB
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,KEN_3_77,Kangundo Sub County,vMPhBuymSKt
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_216,Mt Elgon Sub County,ZCYATXdLsL1
Kenya,KEN_1_5,Rift Valley,KEN_2_23,Turkana,KEN_3_123,Turkana North Sub County,mWpq607yRXh
