Subcounty,adm2_pcode,adm1_name,adm1_pcode,area_sqkm,adm2_ref_name,center_lat,center_lon,geometry,dist_to_quarantine_km,dist_to_border_km,hospital_count,County_Name,road_count
Kisauni,KE001003,Mombasa,KE001,89.52658136,Kisauni,-3.98203278,39.70410654,POINT (1245909.196208466 -443182.37542206334),575.4508886463813,792.7947354186493,0.0,Mombasa,711
Kisumu Central,KE042240,Kisumu,KE042,68.31264884,Kisumu Central,-0.11789191,34.73959396,POINT (693602.7938576385 -13036.647238818887),234.16544122465032,97.8290351763704,0.0,Kisumu,313
Kisumu East,KE042238,Kisumu,KE042,165.45258825,Kisumu East,-0.08189361,34.82263552,POINT (702847.939292706 -9056.317266889562),224.32568633928304,99.90128383982288,0.0,Kisumu,313
Kisumu West,KE042239,Kisumu,KE042,312.35593278,Kisumu West,-0.08874889,34.66672394,POINT (685490.7627602853 -9813.59889155471),241.527645933784,90.9147873213624,0.0,Kisumu,313
Kitui Central,KE015072,Kitui,KE015,728.55883756,Kitui Central,-1.38671151,37.93739911,POINT (1049933.9199862257 -153848.09715337868),225.99326517245484,465.74169864426887,0.0,Kitui,302
Kitui East,KE015073,Kitui,KE015,4726.46461301,Kitui East,-1.40998427,38.50827869,POINT (1113700.4775671505 -156573.53533930748),268.9521649247444,523.75443016856,0.0,Kitui,302
Kitui Rural,KE015071,Kitui,KE015,1529.26512984,Kitui Rural,-1.48809957,37.8229772,POINT (1037134.9519829139 -165068.2364716482),228.72567703134504,460.1747587729457,0.0,Kitui,302
Kitui South,KE015074,Kitui,KE015,12719.43998277,Kitui South,-2.25352106,38.45811355,POINT (1107808.1484963829 -250224.07509732535),338.2983068257311,565.6228118244741,0.0,Kitui,302
Kitui West,KE015070,Kitui,KE015,630.34320095,Kitui West,-1.24036096,37.90169822,POINT (1045979.6138887546 -137603.85831304465),210.4087182175603,454.6450704210557,0.0,Kitui,302
Kitutu Chache North,KE045268,Kisii,KE045,130.43131621,Kitutu Chache North,-0.56406849,34.81191366,POINT (701644.7529009843 -62377.93315681628),241.26046546905647,145.15673388826124,0.0,Kisii,172
Kitutu Chache South,KE045269,Kisii,KE045,97.57301159,Kitutu Chache South,-0.61656293,34.75561621,POINT (695375.6675123612 -68180.97340923478),249.3321914086124,148.0522280507463,0.0,Kisii,172
Kitutu Masaba,KE046270,Nyamira,KE046,253.70038283,Kitutu Masaba,-0.68890394,34.9152784,POINT (713147.1868406846 -76187.46684626727),236.8006771118008,162.566036282394,0.0,Nyamira,114
Konoin,KE036198,Bomet,KE036,851.37474055,Konoin,-0.53784544,35.37821147,POINT (764700.3296847896 -59499.68945352566),183.59207191464745,178.61150407979324,0.0,Bomet,92
Kuresoi North,KE032171,Nakuru,KE032,611.46462477,Kuresoi North,-0.25038756,35.69399982,POINT (799883.145416734 -27706.177208367266),137.50862113438015,186.06444084367584,0.0,Nakuru,649
Kuresoi South,KE032170,Nakuru,KE032,524.93261627,Kuresoi South,-0.54404787,35.64349319,POINT (794246.5314519891 -60198.14242912963),159.20361767202485,200.6156707225454,0.0,Nakuru,649
Kuria East,KE044260,Migori,KE044,238.23967951,Kuria East,-1.24078602,34.65258686,POINT (683874.356241557 -137201.784713585),293.7710439070608,211.18433015927425,0.0,Migori,87
Kuria West,KE044259,Migori,KE044,341.80847209,Kuria West,-1.20280394,34.51742773,POINT (668834.6119481762 -132993.11011934446),303.822418573671,204.50337989616185,0.0,Migori,87
Kwanza,KE026136,Trans Nzoia,KE026,464.80596041,Kwanza,1.14000894,34.98291413,POINT (720649.6272692207 126081.39540571958),222.77324078047997,97.35082738474904,0.0,Trans Nzoia,161
Lafey,KE009044,Mandera,KE009,3543.55037513,Lafey,3.48641418,41.17057846,POINT (1410598.7175033505 389327.12579791027),603.6622494420383,833.0539092516316,0.0,Mandera,29
Lagdera,KE007029,Garissa,KE007,6453.81086357,Lagdera,0.50120998,39.22122974,POINT (1193614.0873883874 55729.17386903518),271.39657821287096,552.4671650858722,0.0,Garissa,66
Laikipia East,KE031164,Laikipia,KE031,3222.26016449,Laikipia East,0.3502711,36.50514369,POINT (890272.6304033576 38788.53452294034),33.34500679083012,250.8560093052402,0.0,Laikipia,104
Laikipia North,KE031165,Laikipia,KE031,4916.20032584,Laikipia North,0.42846094,37.08918117,POINT (955400.183684071 47479.49762758137),35.255522059584074,314.85942815851854,0.0,Laikipia,104
Laikipia West,KE031163,Laikipia,KE031,1398.45986962,Laikipia West,-0.07508303,36.76914131,POINT (919715.5753726782 -8317.041783196779),41.69143798397788,289.10521117063314,0.0,Laikipia,104
Laisamis,KE010048,Marsabit,KE010,24080.25900444,Laisamis,2.30403074,37.30292869,POINT (978875.6668359747 255389.94595778402),229.03947411074265,385.2805733313442,0.0,Marsabit,97
Lamu East,KE005021,Lamu,KE005,2153.48293493,Lamu East,-1.85565186,41.06191972,POINT (1399609.753251275 -207165.82751527577),533.6701671815418,807.2344261560299,0.0,Lamu,20
