Subcounty,Blood Bank,Dental Clinic,Dispensary,District Health Office,District Hospital,Eye Centre,Eye Clinic,Funeral Home (Stand-alone),Health Centre,Health Programme,Health Project,Laboratory (Stand-alone),Maternity Home,Medical Centre,Medical Clinic,National Referral Hospital,Not in List,Nursing Home,Other Hospital,Provincial General Hospital,Radiology Unit,Regional Blood Transfusion Centre,Rural Health Training Centre,Sub-District Hospital,Training Institution in Health (Stand-alone),VCT Centre (Stand-Alone),raw_healthcare_capacity
Matungulu,0,0,15,0,0,0,0,0,5,0,0,0,1,0,28,0,0,1,0,0,0,0,0,0,0,0,64
Mbeere North,0,0,16,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,34
Mbeere South,0,0,25,1,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,42
Mbita,0,0,15,0,1,0,0,0,10,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,5,62
Mbooni East,0,0,18,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,35
Mbooni West,0,0,18,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,31
Merti,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Meru Central,0,0,11,0,1,0,0,0,5,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,51
Meru South,0,0,27,0,1,0,0,0,3,0,0,0,0,1,16,0,0,0,2,0,0,0,0,0,0,1,73
Migori,0,0,27,0,1,0,0,0,3,0,0,0,0,0,20,0,0,2,4,0,0,0,0,0,0,0,92
Mirangine,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9
Mogotio,0,0,26,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,41
Molo,0,0,17,0,1,0,0,0,1,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,45
Moyale,0,0,13,0,1,0,0,0,2,0,0,1,0,1,12,0,0,3,0,0,0,0,0,0,0,0,49
Msambweni,0,0,26,0,1,0,0,0,5,0,0,0,0,0,13,0,1,0,1,0,0,0,0,0,0,2,66
Mt Elgon,0,0,12,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30
Muhoroni,0,0,19,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,58
Mukaa,0,0,26,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,37
Mukurweini,0,0,17,0,1,0,0,0,3,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,55
Mumias,0,0,11,0,0,0,0,0,5,0,0,0,1,0,8,0,0,1,2,0,0,0,0,0,0,0,52
Mumias East,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mumias West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Mumoni,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Muranga South,0,0,18,0,1,0,0,0,5,0,0,1,1,0,13,0,0,2,0,0,0,0,0,0,0,0,61
Muranga West,0,0,9,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19
Mutitu,0,0,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,30
Mutomo,0,0,20,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,68
Mvita,0,0,14,0,0,0,0,0,2,0,0,0,0,0,69,0,0,7,7,1,0,1,0,0,0,3,162
Mwala,0,0,26,0,1,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,64
Mwatate,0,0,17,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,36
Mwingi Central,0,0,29,0,1,0,0,0,3,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,73
Mwingi East,0,0,26,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,50
Mwingi West,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35
Naivasha,0,0,17,0,1,0,0,0,7,0,2,0,1,1,29,0,0,2,6,0,0,0,0,0,0,1,123
Nakuru,0,0,25,0,0,0,0,0,8,0,0,1,3,0,57,0,0,4,6,1,0,0,0,0,0,4,173
